"species","decimalLongitude","decimalLatitude"
"Oeneis jutta",16.48112,59.83494
"Oeneis jutta",15.37053,58.96221
"Oeneis jutta",14.40986,59.01211
"Oeneis jutta",15.33623,59.62471
"Oeneis jutta",13.77267,60.99085
"Oeneis jutta",15.81732,59.02184
"Oeneis jutta",14.95712,59.38779
"Oeneis jutta",14.66844,59.26269
"Oeneis jutta",14.41345,59.0124
"Oeneis jutta",11.696909,59.415987
"Oeneis jutta",17.32762,60.04421
"Oeneis jutta",21.952826,60.827803
"Oeneis jutta",22.585864,61.252083
"Oeneis jutta",21.462185,62.08252
"Oeneis jutta",23.085218,60.573455
"Oeneis jutta",22.114771,62.074594
"Oeneis jutta",16.76204,60.63136
"Oeneis jutta",17.09092,60.02948
"Oeneis jutta",25.676666,59.02387
"Oeneis jutta",25.51194,59.114711
"Oeneis jutta",25.684645,59.026105
"Oeneis jutta",25.682871,59.025414
"Oeneis jutta",25.687014,59.026912
"Oeneis jutta",25.670365,59.021841
"Oeneis jutta",25.683794,59.025886
"Oeneis jutta",25.68626,59.026724
"Oeneis jutta",25.662778,59.019896
"Oeneis jutta",25.416785,59.078044
"Oeneis jutta",27.322077,60.599576
"Oeneis jutta",30.460787,62.188641
"Oeneis jutta",38.637567,56.943059
"Oeneis jutta",24.808104,60.987145
"Oeneis jutta",23.993662,60.622927
"Oeneis jutta",23.068894,60.480015
"Oeneis jutta",26.797517,60.608524
"Oeneis jutta",27.343825,60.585403
"Oeneis jutta",27.601312,62.788269
"Oeneis jutta",24.140783,61.615103
"Oeneis jutta",11.437997,60.857438
"Oeneis jutta",11.477433,60.78446
"Oeneis jutta",11.224656,59.913078
"Oeneis jutta",-74.679806,44.22615
"Oeneis jutta",23.410591,62.331332
"Oeneis jutta",-72.263908,48.746495
"Oeneis jutta",-91.965659,48.071783
"Oeneis jutta",-74.122786,44.411178
"Oeneis jutta",24.898123,61.389768
"Oeneis jutta",-91.739579,47.876867
"Oeneis jutta",24.887846,61.393439
"Oeneis jutta",-91.6633,47.50524
"Oeneis jutta",15.16873,58.82399
"Oeneis jutta",17.24735,60.08408
"Oeneis jutta",17.242,63.68581
"Oeneis jutta",13.57163,60.30196
"Oeneis jutta",12.42754,63.22349
"Oeneis jutta",13.51557,61.38381
"Oeneis jutta",15.65836,62.68126
"Oeneis jutta",19.37083,65.27696
"Oeneis jutta",17.48636,64.87772
"Oeneis jutta",19.3541,63.45201
"Oeneis jutta",20.05915,64.62831
"Oeneis jutta",14.63471,63.24538
"Oeneis jutta",15.62389,61.46701
"Oeneis jutta",14.34997,60.47293
"Oeneis jutta",14.95496,59.37419
"Oeneis jutta",19.19229,65.28294
"Oeneis jutta",15.06,60.22101
"Oeneis jutta",17.81935,60.31499
"Oeneis jutta",19.5158,65.58963
"Oeneis jutta",15.10873,59.55534
"Oeneis jutta",13.96124,60.02301
"Oeneis jutta",17.76778,62.55733
"Oeneis jutta",20.36516,63.79164
"Oeneis jutta",16.12813,62.53781
"Oeneis jutta",16.26644,60.97021
"Oeneis jutta",18.04619,63.6272
"Oeneis jutta",14.48752,59.62396
"Oeneis jutta",14.90628,60.11229
"Oeneis jutta",15.33633,59.61753
"Oeneis jutta",12.77124,62.8017
"Oeneis jutta",19.16585,65.31562
"Oeneis jutta",14.92634,63.22217
"Oeneis jutta",14.90133,61.17733
"Oeneis jutta",12.52721,62.53914
"Oeneis jutta",19.38225,65.27973
"Oeneis jutta",16.96954,62.67218
"Oeneis jutta",17.16058,59.9708
"Oeneis jutta",14.86875,59.37136
"Oeneis jutta",18.50984,59.80512
"Oeneis jutta",22.24231,65.83184
"Oeneis jutta",14.65944,63.27374
"Oeneis jutta",14.99935,57.925
"Oeneis jutta",14.75975,63.20771
"Oeneis jutta",14.79329,61.38878
"Oeneis jutta",16.01574,59.82047
"Oeneis jutta",17.039,61.39711
"Oeneis jutta",19.63529,65.44328
"Oeneis jutta",17.49217,60.13161
"Oeneis jutta",17.07482,62.78078
"Oeneis jutta",19.43676,65.28892
"Oeneis jutta",18.24762,65.65504
"Oeneis jutta",14.6307,63.24216
"Oeneis jutta",15.34022,60.47261
"Oeneis jutta",18.71117,65.66619
"Oeneis jutta",16.96657,62.8863
"Oeneis jutta",18.8314,66.10684
"Oeneis jutta",14.38284,61.09288
"Oeneis jutta",17.24986,62.13767
"Oeneis jutta",12.67124,62.67452
"Oeneis jutta",20.36524,63.79082
"Oeneis jutta",15.56875,59.66962
"Oeneis jutta",13.87554,63.70345
"Oeneis jutta",15.70037,62.61164
"Oeneis jutta",17.16175,59.97451
"Oeneis jutta",17.33253,66.16851
"Oeneis jutta",17.5178,65.02753
"Oeneis jutta",19.32416,65.21032
"Oeneis jutta",14.43395,63.34085
"Oeneis jutta",14.71538,59.34546
"Oeneis jutta",17.16083,59.97121
"Oeneis jutta",14.65468,63.27446
"Oeneis jutta",19.64167,65.53324
"Oeneis jutta",17.25651,62.62824
"Oeneis jutta",13.06342,63.22143
"Oeneis jutta",17.15425,59.96178
"Oeneis jutta",16.91794,61.7751
"Oeneis jutta",17.32885,60.0472
"Oeneis jutta",12.67076,62.67416
"Oeneis jutta",14.7709,59.31237
"Oeneis jutta",13.16188,61.57936
"Oeneis jutta",12.43761,60.91568
"Oeneis jutta",20.33947,63.79057
"Oeneis jutta",19.49787,65.51963
"Oeneis jutta",12.67026,62.66437
"Oeneis jutta",20.02749,64.60513
"Oeneis jutta",21.97403,65.77263
"Oeneis jutta",17.32551,62.42817
"Oeneis jutta",12.65841,61.99872
"Oeneis jutta",19.24805,65.28141
"Oeneis jutta",17.16057,59.9708
"Oeneis jutta",16.82569,61.13855
"Oeneis jutta",16.74144,60.22686
"Oeneis jutta",15.86314,61.117
"Oeneis jutta",16.24746,64.11881
"Oeneis jutta",14.19949,63.42157
"Oeneis jutta",15.3287,58.087
"Oeneis jutta",17.01865,59.20314
"Oeneis jutta",20.33382,63.82321
"Oeneis jutta",17.17955,62.81426
"Oeneis jutta",13.04107,63.22695
"Oeneis jutta",17.16104,59.97119
"Oeneis jutta",17.45466,59.08713
"Oeneis jutta",19.55894,63.69639
"Oeneis jutta",12.63543,60.9253
"Oeneis jutta",17.16045,59.97095
"Oeneis jutta",14.60816,63.03592
"Oeneis jutta",13.23279,60.30132
"Oeneis jutta",17.03255,62.86535
"Oeneis jutta",12.97485,60.89299
